imdb_code,name,year,world_collection,int_collection,dom_collection,url
tt4624424,Storks,2016,183388953,110709675.0,72679278.0,https://www.boxofficemojo.com/title/tt4624424/?ref_=bo_gr_ti
tt5237980,From Vegas to Macau III,2016,181732879,181732879.0,,https://www.boxofficemojo.com/title/tt5237980/?ref_=bo_gr_ti
tt2119532,Hacksaw Ridge,2016,180450918,113241303.0,67209615.0,https://www.boxofficemojo.com/title/tt2119532/?ref_=bo_gr_ti
tt3410834,Allegiant,2016,179246868,113062817.0,66184051.0,https://www.boxofficemojo.com/title/tt3410834/?ref_=bo_gr_ti
tt6044910,Operation Mekong,2016,173839072,173039060.0,800012.0,https://www.boxofficemojo.com/title/tt6044910/?ref_=bo_gr_ti
tt3631112,The Girl on the Train,2016,173185859,97790824.0,75395035.0,https://www.boxofficemojo.com/title/tt3631112/?ref_=bo_gr_ti
tt2381991,The Huntsman: Winter's War,2016,164989338,116599148.0,48390190.0,https://www.boxofficemojo.com/title/tt2381991/?ref_=bo_gr_ti
tt2404435,The Magnificent Seven,2016,162360636,68927981.0,93432655.0,https://www.boxofficemojo.com/title/tt2404435/?ref_=bo_gr_ti
tt3393786,Jack Reacher: Never Go Back,2016,162146076,103449000.0,58697076.0,https://www.boxofficemojo.com/title/tt3393786/?ref_=bo_gr_ti
tt4160708,Don't Breathe,2016,157830487,68612612.0,89217875.0,https://www.boxofficemojo.com/title/tt4160708/?ref_=bo_gr_ti
tt2140479,The Accountant,2016,155160045,68900000.0,86260045.0,https://www.boxofficemojo.com/title/tt2140479/?ref_=bo_gr_ti
tt4786282,Lights Out,2016,148868835,81600000.0,67268835.0,https://www.boxofficemojo.com/title/tt4786282/?ref_=bo_gr_ti
tt5354664,Time Raiders,2016,145819137,145819137.0,,https://www.boxofficemojo.com/title/tt5354664/?ref_=bo_gr_ti
tt2788732,Pete's Dragon,2016,143695338,67462187.0,76233151.0,https://www.boxofficemojo.com/title/tt2788732/?ref_=bo_gr_ti
tt1700841,Sausage Party,2016,140705322,43019636.0,97685686.0,https://www.boxofficemojo.com/title/tt1700841/?ref_=bo_gr_ti
tt3741834,Lion,2016,140312928,88574023.0,51738905.0,https://www.boxofficemojo.com/title/tt3741834/?ref_=bo_gr_ti
tt2238032,Skiptrace,2016,136579287,136579287.0,,https://www.boxofficemojo.com/title/tt2238032/?ref_=bo_gr_ti
tt3522806,Mechanic: Resurrection,2016,125729635,104511232.0,21218403.0,https://www.boxofficemojo.com/title/tt3522806/?ref_=bo_gr_ti
tt1860357,Deepwater Horizon,2016,121790373,60356846.0,61433527.0,https://www.boxofficemojo.com/title/tt1860357/?ref_=bo_gr_ti
tt3640424,Allied,2016,119520023,79421959.0,40098064.0,https://www.boxofficemojo.com/title/tt3640424/?ref_=bo_gr_ti
tt6074202,I Belonged to You,2016,119107580,118363039.0,744541.0,https://www.boxofficemojo.com/title/tt6074202/?ref_=bo_gr_ti
tt4052882,The Shallows,2016,119100758,63976715.0,55124043.0,https://www.boxofficemojo.com/title/tt4052882/?ref_=bo_gr_ti
tt4094724,The Purge: Election Year,2016,118587880,39374505.0,79213375.0,https://www.boxofficemojo.com/title/tt4094724/?ref_=bo_gr_ti
tt4501244,Why Him?,2016,118102725,57778939.0,60323786.0,https://www.boxofficemojo.com/title/tt4501244/?ref_=bo_gr_ti
tt4960242,Finding Mr Right 2,2016,114679097,114679097.0,,https://www.boxofficemojo.com/title/tt4960242/?ref_=bo_gr_ti
tt1711525,Office Christmas Party,2016,114501299,59733805.0,54767494.0,https://www.boxofficemojo.com/title/tt1711525/?ref_=bo_gr_ti
tt1292566,How to Be Single,2016,112343513,65500000.0,46843513.0,https://www.boxofficemojo.com/title/tt1292566/?ref_=bo_gr_ti
tt1179933,10 Cloverfield Lane,2016,110216998,38134000.0,72082998.0,https://www.boxofficemojo.com/title/tt1179933/?ref_=bo_gr_ti
tt4438848,Neighbors 2: Sorority Rising,2016,108007109,52551344.0,55455765.0,https://www.boxofficemojo.com/title/tt4438848/?ref_=bo_gr_ti
tt5112622,Cold War II,2016,103197501,102636677.0,560824.0,https://www.boxofficemojo.com/title/tt5112622/?ref_=bo_gr_ti
tt4687848,Railroad Tigers,2016,102205175,101987131.0,218044.0,https://www.boxofficemojo.com/title/tt4687848/?ref_=bo_gr_ti
tt6398666,Some Like It Hot,2016,95721320,95621294.0,100026.0,https://www.boxofficemojo.com/title/tt6398666/?ref_=bo_gr_ti
tt1860213,Dirty Grandpa,2016,94073028,58479915.0,35593113.0,https://www.boxofficemojo.com/title/tt1860213/?ref_=bo_gr_ti
tt2638144,Ben-Hur,2016,94061311,67650834.0,26410477.0,https://www.boxofficemojo.com/title/tt2638144/?ref_=bo_gr_ti
tt2241351,Money Monster,2016,93282604,52270529.0,41012075.0,https://www.boxofficemojo.com/title/tt2241351/?ref_=bo_gr_ti
tt5700672,Train to Busan,2016,92764199,90634431.0,2129768.0,https://www.boxofficemojo.com/title/tt5700672/?ref_=bo_gr_ti
tt3760922,My Big Fat Greek Wedding 2,2016,90632641,30943036.0,59689605.0,https://www.boxofficemojo.com/title/tt3760922/?ref_=bo_gr_ti
tt4682786,Collateral Beauty,2016,88528280,57512259.0,31016021.0,https://www.boxofficemojo.com/title/tt4682786/?ref_=bo_gr_ti
tt5896962,Line Walker,2016,88228755,88228755.0,,https://www.boxofficemojo.com/title/tt5896962/?ref_=bo_gr_ti
tt4832640,Sultan,2016,92539463,86339463.0,6200000.0,https://www.boxofficemojo.com/title/tt4832640/?ref_=bo_gr_ti
tt2005151,War Dogs,2016,86234523,43200000.0,43034523.0,https://www.boxofficemojo.com/title/tt2005151/?ref_=bo_gr_ti
tt1920885,Big Fish & Begonia,2016,85557721,85557721.0,,https://www.boxofficemojo.com/title/tt1920885/?ref_=bo_gr_ti
tt3531824,Nerve,2016,85251425,46667799.0,38583626.0,https://www.boxofficemojo.com/title/tt3531824/?ref_=bo_gr_ti
tt2261287,Leap!,2016,106127278,81424718.0,24702560.0,https://www.boxofficemojo.com/title/tt2261287/?ref_=bo_gr_ti
tt4361050,Ouija: Origin of Evil,2016,81705746,46561241.0,35144505.0,https://www.boxofficemojo.com/title/tt4361050/?ref_=bo_gr_ti
tt3717252,Underworld: Blood Wars,2016,81093313,50739340.0,30353973.0,https://www.boxofficemojo.com/title/tt3717252/?ref_=bo_gr_ti
tt4034228,Manchester by the Sea,2016,78988148,31292777.0,47695371.0,https://www.boxofficemojo.com/title/tt4034228/?ref_=bo_gr_ti
tt2702724,The Boss,2016,78844582,15558697.0,63285885.0,https://www.boxofficemojo.com/title/tt2702724/?ref_=bo_gr_ti
tt4262980,Shin Godzilla,2016,78053145,76134742.0,1918403.0,https://www.boxofficemojo.com/title/tt4262980/?ref_=bo_gr_ti
